id,name,salary,birthdate,hiredSince,FK_company,FK_pensionFUnd
921,Lavina Venus,11773.69,2008-12-17,2013,178,4
922,Paulie Cordy,36389.14,1961-10-07,2015,379,38
923,Inigo Seakin,36514.2,1978-08-15,1979,365,50
924,Arny Mollatt,48413.37,2007-11-26,1989,342,7
925,Gwenette Queenborough,49726.33,2007-03-20,1987,82,33
926,Maritsa McAreavey,13200.4,1971-07-24,1981,214,3
927,Kearney Lundbeck,25338.82,1992-10-15,1995,92,43
928,Pammi Le Blanc,29635.42,2013-06-17,1982,8,18
929,Fabiano Sickling,36637.22,2006-02-13,1996,307,14
930,Betti Wooffitt,39888.08,2003-06-18,1995,106,39
931,Emelen Dottrell,32788.59,1996-02-02,2019,209,11
932,Koenraad Cone,43068.55,2009-03-07,2000,471,49
933,Winni Sterrick,28674.74,1983-06-21,2018,274,74
934,Marquita Fears,37002.19,1964-12-20,1983,99,55
935,Tarra Kieff,29753.57,1969-08-14,1995,140,14
936,Jaclyn Shewry,28767.41,1973-01-17,1997,117,41
937,Cilka Ferandez,17969.37,2013-08-19,2014,200,60
938,Lula Becken,31811.15,1985-09-04,2000,488,49
939,Philippine Sowrah,17146.4,1991-11-04,1981,251,39
940,Abbey Liggins,10166.34,1974-02-07,2001,259,52
941,Lionello Knapper,43803.91,1972-05-08,2012,264,8
942,Cinderella Gelderd,15682.2,1971-12-22,2000,52,63
943,Robenia Danet,28008.78,2010-09-25,2019,444,75
944,Taffy Buesden,43081.01,1969-10-12,1980,124,19
945,Dominique Smyley,31794.55,2003-06-16,2019,76,59
946,Amalita Tennick,13554.26,1975-10-13,2019,188,22
947,Trisha Gaymar,22470.19,1965-08-30,1994,379,54
948,Ronna Mc Carroll,10795.36,1960-10-16,2015,205,57
949,Rivy Truswell,48446.04,1981-07-20,2005,13,20
950,Any Hadlee,47243.13,2014-05-07,1979,387,46
951,Anallese Isham,25623.39,1978-04-09,2003,78,14
952,Annamaria Morrice,31255.17,1974-02-09,1986,147,22
953,Othella Vaughan,42870.51,1968-04-03,1990,31,1
954,Florry Binney,16516.78,2004-10-08,2014,433,2
955,Nan Shoppee,11729.81,1993-09-26,1998,45,29
956,Rory Peppard,28190.4,1993-12-07,1989,166,33
957,Eva Hinrichsen,36344.63,2007-11-26,2013,64,13
958,Ingemar Growy,32036.81,2012-04-10,2009,416,39
959,Loleta Bauduccio,30536.81,2011-11-25,1975,395,45
960,Winni Forrester,19536.01,1962-05-25,2007,221,64
961,Emanuele Basten,42865.04,1975-10-06,2010,147,31
962,Shela McLise,42799.98,2009-05-29,1979,96,41
963,Reilly Fairholme,33430.54,1984-06-27,2014,222,74
964,Jarrett Steinson,18302.26,2010-04-23,1983,249,51
965,Samson Bennett,13661.09,1982-06-08,1985,134,25
966,Toiboid Yurevich,39421.06,2011-02-15,1978,445,42
967,Enrique Parrot,45150.34,1994-12-03,2021,307,46
968,Krissie Redgewell,36769.7,2004-05-11,2005,438,21
969,Giralda Falkner,28285.08,1978-01-20,1976,325,73
970,Clint Pacitti,44107.07,1983-10-06,1980,225,74
971,Jilly Pascho,27418.07,1969-01-25,1985,256,56
972,Wynnie Blenkin,41358.56,1988-07-10,2011,336,60
973,Lucais Schlagtmans,45058.97,1969-07-06,2001,139,29
974,Alva Klimus,36509.32,1993-07-05,2009,126,23
975,Ashlen Dowd,43875.72,1984-05-29,1978,155,17
976,Shani McGerraghty,42943.55,1974-08-25,1992,215,13
977,Clint Ploughwright,33739.17,2005-07-07,2003,261,42
978,Caresa Mattinson,32399.37,2004-10-09,2003,311,65
979,Claire Nisbith,41065.35,1970-06-20,1985,347,10
980,Kelbee Rehorek,25798.89,2006-11-21,1994,420,29
981,Aubrette Olander,14005.11,2004-12-08,1991,415,58
982,Afton Regitz,23241.57,2003-12-19,1994,419,51
983,Marlowe Epp,19845.65,1990-10-16,2013,42,1
984,Arlyn Snashall,45487.41,2010-06-27,2002,227,9
985,Cheslie Zoellner,48673.92,1963-02-27,1999,256,9
986,Magda Bickardike,23934.46,1983-05-01,2004,149,44
987,Dehlia Wollrauch,22855.09,1966-05-01,1992,364,29
988,Lombard Felipe,11431.17,1971-05-09,2021,185,51
989,Ardath Staig,30877.61,2000-03-09,2006,419,16
990,Stephie Yushankin,11003.16,1966-10-24,2009,365,41
991,Dolli Davenport,23002.95,1960-02-17,2015,381,5
992,Kelila Cheyenne,47331.08,1965-06-19,2018,225,47
993,Kelsey Stevings,12796.03,2007-03-26,1997,471,47
994,Oren Gumm,33132.96,2005-03-08,2012,419,21
995,Myriam Awty,26716.96,1978-03-05,2010,408,28
996,Perle Mussared,37444.37,2004-11-22,2017,182,6
997,Gerrilee Jantel,31287.47,1968-10-02,2004,26,7
998,Gertrud Summerscales,18910.17,1979-12-04,2005,83,60
999,Gilly Makepeace,45274.98,1963-10-17,1994,262,28
1000,Sonnie Hicks,31151.97,1991-07-03,2013,157,11
